"","Country","Action","Adult","Adventure","Animation","Biography","Comedy","Crime","Documentary","Drama","Family","Fantasy","FilmNoir","GameShow","History","Horror","Music","Musical","Mystery","News","RealityTV","Romance","SciFi","Short","Sport","TalkShow","Thriller","War","Western","Total","Continent","Population","gdp"
"1","Afghanistan",0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,7,"Asia",34124811,64080
"2","Albania",1,0,0,0,0,5,0,5,10,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,"Europe",3047987,33900
"3","Algeria",0,0,1,0,1,5,0,2,13,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,1,28,"Africa",40969443,609400
"4","Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Europe",85702,3327
"5","Angola",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Africa",29310273,189000
"6","Argentina",33,1,41,28,5,251,46,86,400,42,26,0,0,11,35,4,74,23,0,0,62,14,92,0,0,66,3,5,1348,"South America",44293293,879400
"7","Armenia",0,0,0,0,1,2,1,8,12,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,30,"Europe",3045191,26300
"8","Australia",85,0,62,73,14,333,77,102,545,50,32,0,0,14,76,14,12,33,0,0,84,36,343,11,0,157,20,10,2183,"Oceania",23232413,1189000
"9","Austria",7,1,8,6,12,125,25,51,143,5,4,0,0,10,8,15,24,8,0,0,39,8,79,1,0,14,8,3,604,"Europe",8754413,416600
"10","Azerbaijan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Europe",9961396,167900
"11","Bahamas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,"North America",329988,9066
"12","Bahrain",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,"Asia",1410942,66370
"13","Bangladesh",0,0,0,0,0,1,0,2,11,0,0,0,0,1,0,0,1,0,0,0,1,0,4,0,0,0,1,0,22,"Asia",157826578,628400
"14","Belarus",2,0,0,0,0,2,0,2,6,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,17,"Europe",9549747,165400
"15","Belgium",17,2,29,49,2,108,36,43,195,22,21,0,0,6,16,4,3,6,0,0,47,14,212,2,0,35,7,2,878,"Europe",11491346,508600
"16","Benin",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Africa",11038805,24310
"17","Bhutan",1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"Asia",758288,6432
"18","Bolivia",0,0,0,0,0,3,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11,"South America",11138234,78350
"19","Bosnia-Herzegovina",3,0,1,0,0,4,0,4,10,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,4,1,33,"Europe",NA,NA
"20","Botswana",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Africa",2214858,35900
"21","Brazil",18,10,46,25,14,267,54,128,413,68,23,0,0,6,26,5,43,10,0,0,50,4,117,3,0,20,6,1,1357,"South America",207353391,3081000
"22","Bulgaria",5,0,8,15,1,54,3,12,140,13,9,0,0,4,1,1,4,2,0,0,6,2,24,0,0,10,9,1,324,"Europe",7101510,143100
"23","Burkina Faso",0,0,0,0,0,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,"Africa",20107509,32990
"24","Cambodia",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Asia",16204486,58940
"25","Cameroon",0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,"Africa",24994885,77240
"26","Canada",175,70,86,340,39,759,123,463,1095,123,84,0,0,32,237,37,48,69,0,0,179,124,1266,28,0,295,28,20,5720,"North America",35623680,1674000
"27","Cabo Verde",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Africa",560899,3583
"28","Central African Republic",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Africa",NA,NA
"29","Chad",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,"Africa",12075985,30590
"30","Chile",7,0,1,2,0,20,3,20,55,0,3,0,0,0,6,0,1,3,0,0,6,2,17,1,0,7,1,0,155,"South America",17789267,436100
"31","China",39,0,11,9,6,52,14,17,263,11,10,0,0,15,7,1,4,6,0,0,55,2,11,1,0,13,42,0,589,"Asia",1379302771,21140000
"32","Colombia",2,0,4,2,0,16,1,6,26,1,2,0,0,0,3,0,0,1,0,0,6,0,8,1,0,4,1,1,85,"South America",47698524,688000
"33","Costa Rica",0,0,1,0,0,1,1,0,7,0,0,0,0,0,1,0,0,1,0,0,2,0,3,0,0,2,0,0,19,"North America",4930258,79260
"34","Croatia",9,0,2,1,2,23,7,7,44,4,1,0,0,1,0,1,1,1,0,0,7,1,17,1,0,8,11,0,149,"Europe",4292095,94240
"35","Cuba",2,0,2,1,0,26,1,25,41,0,1,1,0,0,4,1,3,2,0,0,3,1,24,0,0,3,1,3,145,"North America",11147407,132900
