"","Year","Group","Age"
"1","1930","Actors","38.4"
"2","1931","Actors","38.5"
"3","1932","Actors","39.5"
"4","1933","Actors","39.4"
"5","1934","Actors","39.9"
"6","1935","Actors","40"
"7","1936","Actors","40.2"
"8","1937","Actors","39.9"
"9","1938","Actors","39.7"
"10","1939","Actors","39.5"
"11","1940","Actors","39.7"
"12","1941","Actors","39.7"
"13","1942","Actors","40"
"14","1943","Actors","40.7"
"15","1944","Actors","41.2"
"16","1945","Actors","41.2"
"17","1946","Actors","41"
"18","1947","Actors","40.6"
"19","1948","Actors","40.6"
"20","1949","Actors","40.8"
"21","1950","Actors","41.1"
"22","1951","Actors","40.4"
"23","1952","Actors","40.2"
"24","1953","Actors","40.2"
"25","1954","Actors","40.5"
"26","1955","Actors","40.3"
"27","1956","Actors","40.2"
"28","1957","Actors","39.9"
"29","1958","Actors","39.6"
"30","1959","Actors","39.3"
"31","1960","Actors","39.6"
"32","1961","Actors","39.2"
"33","1962","Actors","39.4"
"34","1963","Actors","39.5"
"35","1964","Actors","39.2"
"36","1965","Actors","39.6"
"37","1966","Actors","39.3"
"38","1967","Actors","39.7"
"39","1968","Actors","39.6"
"40","1969","Actors","39.7"
"41","1970","Actors","40.2"
"42","1971","Actors","40.4"
"43","1972","Actors","40.4"
"44","1973","Actors","40.7"
"45","1974","Actors","40.9"
"46","1975","Actors","41.7"
"47","1976","Actors","41.4"
"48","1977","Actors","41.6"
"49","1978","Actors","41.3"
"50","1979","Actors","41.7"
"51","1980","Actors","41.7"
"52","1981","Actors","41.7"
"53","1982","Actors","42"
"54","1983","Actors","42"
"55","1984","Actors","42"
"56","1985","Actors","41.2"
"57","1986","Actors","41.7"
"58","1987","Actors","42"
"59","1988","Actors","41.6"
"60","1989","Actors","41.7"
"61","1990","Actors","41.7"
"62","1991","Actors","42.2"
"63","1992","Actors","41.9"
"64","1993","Actors","42.1"
"65","1994","Actors","41.9"
"66","1995","Actors","41.5"
"67","1996","Actors","41.6"
"68","1997","Actors","41.6"
"69","1998","Actors","41.5"
"70","1999","Actors","41.1"
"71","2000","Actors","41.2"
"72","2001","Actors","41.3"
"73","2002","Actors","41"
"74","2003","Actors","41.7"
"75","2004","Actors","41.3"
"76","2005","Actors","41.4"
"77","2006","Actors","41.9"
"78","2007","Actors","42.3"
"79","2008","Actors","42.7"
"80","2009","Actors","42.7"
"81","2010","Actors","43.5"
"82","2011","Actors","44"
"83","2012","Actors","44.8"
"84","2013","Actors","45.5"
"85","2014","Actors","46.5"
"86","2015","Actors","47.2"
"87","2016","Actors","48.1"
"88","2017","Actors","48.7"
"89","2018","Actors","49.7"
"90","2019","Actors","50.3"
"91","1930","Actresses","29.6"
"92","1931","Actresses","29.6"
"93","1932","Actresses","29.3"
"94","1933","Actresses","30"
"95","1934","Actresses","30.2"
"96","1935","Actresses","30.2"
"97","1936","Actresses","29.8"
"98","1937","Actresses","30"
"99","1938","Actresses","30.4"
"100","1939","Actresses","30"
"101","1940","Actresses","30.5"
"102","1941","Actresses","30.2"
"103","1942","Actresses","30.5"
"104","1943","Actresses","31.3"
"105","1944","Actresses","31.4"
"106","1945","Actresses","31.3"
"107","1946","Actresses","31"
"108","1947","Actresses","31.4"
"109","1948","Actresses","31.1"
"110","1949","Actresses","31.3"
"111","1950","Actresses","31.5"
"112","1951","Actresses","32.3"
"113","1952","Actresses","31.2"
"114","1953","Actresses","31.2"
"115","1954","Actresses","31"
"116","1955","Actresses","31.1"
"117","1956","Actresses","30.9"
"118","1957","Actresses","30.7"
"119","1958","Actresses","30.8"
"120","1959","Actresses","30.3"
"121","1960","Actresses","30.2"
"122","1961","Actresses","30.2"
"123","1962","Actresses","30.6"
"124","1963","Actresses","31.1"
"125","1964","Actresses","31"
"126","1965","Actresses","30.3"
"127","1966","Actresses","30.2"
"128","1967","Actresses","29.8"
"129","1968","Actresses","30.1"
"130","1969","Actresses","30.6"
"131","1970","Actresses","31"
"132","1971","Actresses","31.1"
"133","1972","Actresses","31.6"
"134","1973","Actresses","31.8"
