"","originalTitle","Freq","Sent","Black"
"15","love",3219,"blue","black"
"27","story",2161,"grey","black"
"30","life",2059,"grey","black"
"43","last",1546,"grey","black"
"47","night",1457,"grey","black"
"48","one",1367,"grey","black"
"52","girl",1264,"grey","black"
"53","black",1253,"grey","black"
"60","project",1200,"grey","black"
"61","world",1146,"grey","black"
"62","movie",1134,"grey","black"
"68","time",1061,"grey","black"
"70","american",1022,"grey","black"
"72","new",1019,"grey","black"
"73","house",1004,"grey","black"
"75","dead",994,"red","black"
"77","day",923,"grey","black"
"79","city",914,"grey","black"
"80","little",910,"grey","black"
"81","death",861,"red","black"
"82","road",860,"grey","black"
"84","home",852,"grey","black"
"88","lost",824,"red","black"
"89","big",820,"grey","black"
"90","blood",814,"grey","black"
"91","dark",811,"red","black"
"92","red",810,"grey","black"
"93","girls",808,"grey","black"
"97","woman",770,"grey","black"
"99","shi",744,"grey","black"
"104","blue",733,"grey","black"
"106","film",730,"grey","black"
"107","men",721,"grey","black"
"108","heart",713,"grey","black"
"111","white",699,"grey","black"
"112","live",692,"grey","black"
"114","boy",676,"grey","black"
"115","two",675,"grey","black"
"119","king",657,"grey","black"
"120","days",652,"grey","black"
"125","great",630,"blue","black"
"126","secret",627,"grey","black"
"128","journey",621,"grey","black"
"132","wild",609,"red","black"
"135","way",596,"grey","black"
"136","land",592,"grey","black"
"137","dream",590,"grey","black"
"139","lady",589,"grey","black"
"140","mr.",588,"grey","black"
"142","good",585,"blue","black"
"143","si",580,"grey","black"
"145","back",561,"grey","black"
"147","three",557,"grey","black"
"148","ji",556,"grey","black"
"149","women",554,"grey","black"
"150","ki",548,"grey","black"
"152","street",547,"grey","black"
"155","van",533,"grey","black"
"158","first",524,"grey","black"
"159","beyond",520,"grey","black"
"160","west",510,"grey","black"
"162","game",506,"grey","black"
"164","part",500,"grey","black"
"165","bad",499,"red","black"
"167","della",494,"grey","black"
"168","high",494,"grey","black"
"170","long",489,"grey","black"
"171","ren",489,"grey","black"
"173","island",482,"grey","black"
"174","ang",481,"grey","black"
"175","family",480,"grey","black"
"176","nu",474,"grey","black"
"177","end",473,"grey","black"
"178","art",472,"grey","black"
"179","documentary",470,"grey","black"
"183","don'",462,"grey","black"
"184","v",462,"grey","black"
"185","2:",460,"grey","black"
"187","like",460,"blue","black"
"188","people",452,"grey","black"
"191","america",448,"grey","black"
"192","return",448,"grey","black"
"193","dreams",444,"grey","black"
"194","ka",444,"grey","black"
"195","god",443,"grey","black"
"196","hollywood",442,"grey","black"
"197","paris",441,"grey","black"
"198","moon",440,"grey","black"
"199","star",440,"grey","black"
"203","qing",432,"grey","black"
"204","hell",431,"red","black"
"206","go",429,"grey","black"
"207","liebe",429,"grey","black"
"208","boys",428,"grey","black"
"211","young",426,"grey","black"
"212","river",424,"grey","black"
"213","rock",422,"grey","black"
"214","fire",420,"grey","black"
"217","light",411,"grey","black"
"219","summer",406,"grey","black"
"220","baby",398,"grey","black"
"221","ghost",397,"grey","black"
"222","christmas",394,"grey","black"
"223","legend",391,"grey","black"
"224","children",389,"grey","black"
"225","zhi",389,"grey","black"
"226","behind",388,"grey","black"
"227","town",387,"grey","black"
"228","kill",386,"red","black"
"229","never",386,"grey","black"
"230","old",386,"grey","black"
"231","living",383,"grey","black"
"234","making",379,"grey","black"
"235","music",379,"grey","black"
